name,group,by,parameter,base,post,Post-Base,Stdev.P_base,Stdev.P_Post,notes,"Analyzed for QT, QTc etc"
2017-10-12-RatA,Ctrl,DM,Ramp,1.58916,1.41796,,0.014609,0.009357,,
2017-10-13-RatA,MEHP,JH,Ramp,0.9318,0.72456,,0.007595,0.002368,,
2017-10-13-RatB,Ctrl,,Ramp,,,,,,,
2017-10-24-RatA,MEHP,JH,Ramp,1.43448,1.3646,,0.00441,0.004373,,
2017-10-24-RatB,Ctrl,JH,Ramp,1.23344,1.28108,,0.004011,0.002652,,
2017-01-13-RatA,MEHP,,Ramp,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,Ramp,,,,,,,
2017-03-17-RatA,Ctrl,JH,Ramp,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,Ramp,1.00756,2.67988,,0.237547,0.363167,,
2016-12-14-RatA,MEHP,JH,Ramp,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,Ramp,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,Ramp,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,Ramp,1.78416,nan,,0.007656,nan,,
2017-02-17-RatB,MEHP,JH,Ramp,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,Ramp,-0.04324,0.83452,,0.034936,0.02769,,
2017-03-03-RatA,MEHP,JH,Ramp,2.79316,2.02588,,0.01409,0.014356,,
2017-03-08-RatA,Ctrl,JH,Ramp,2.87448,3.566,,0.017454,0.026477,,
2017-03-08-RatB,MEHP,JH,Ramp,2.30684,2.7706,,0.010228,0.019444,,
2017-03-10-RatA,Ctrl,JH,Ramp,3.10628,nan,,0.010543,nan,,
2017-03-10-RatB,MEHP,JH,Ramp,3.06408,1.92272,,0.014596,0.00819,,
2017-06-21-RatA,MEHP,JH,Ramp,-1.392,-1.7996,,0.01755,0.023186,,
2017-07-07-RatB,MEHP,JH,Ramp,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,Ramp,0.80608,0.67656,,0.017857,0.013197,,
2018-04-24-RatA,Ctrl,,Ramp,,,,,,,
2016-12-21-RatA,Ctrl,JH,QT,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,QT,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,QT,94.22,nan,,2.408651,nan,,
2017-10-03-RatA,MEHP,JH,QT,115.36,136.72,,3.226515,3.42076,,
2017-10-12-RatA,Ctrl,DM,QT,92.04,89.24,,4.223553,2.702295,,
2017-10-13-RatA,MEHP,JH,QT,124.44,136.9,,1.313925,1.581139,,
2017-10-13-RatB,Ctrl,,QT,,,,,,,
2017-10-24-RatA,MEHP,JH,QT,145.48,149.08,,1.062826,2.823756,,
2017-10-24-RatB,Ctrl,JH,QT,97.06,166.24,,1.306292,0.838093,,
2017-01-13-RatA,MEHP,,QT,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,QT,,,,,,,
2017-03-17-RatA,Ctrl,JH,QT,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,QT,95.88,245.76,,1.218852,23.64958,,
2016-12-14-RatA,MEHP,JH,QT,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,QT,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,QT,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,QT,149.14,nan,,1.621851,nan,,
2017-02-17-RatB,MEHP,JH,QT,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,QT,nan,nan,,nan,nan,,
2017-03-03-RatA,MEHP,JH,QT,131.32,187.76,,3.66846,5.122734,,
2017-03-08-RatA,Ctrl,JH,QT,nan,nan,,nan,nan,,
