"Wavelength (nm)","298805 %T (Unpolarized)","298805 OD (Unpolarized)"
"676.50","5.28826E-05","6.27669"
"677.00","6.33012E-05","6.19859"
"677.50","5.42255E-05","6.26580"
"678.00","5.29006E-05","6.27654"
"678.50","7.30637E-05","6.13630"
"679.00","1.94492E-05","6.71110"
"679.50","5.68444E-05","6.24531"
"680.00","3.47632E-05","6.45888"
"680.50","1.14262E-05","6.94210"
"681.00","4.05767E-05","6.39172"
"681.50","3.06289E-05","6.51387"
"682.00","1.60271E-05","6.79515"
"682.50","6.72019E-05","6.17262"
"683.00","4.42858E-05","6.35374"
"683.50","5.15628E-05","6.28766"
"684.00","4.89378E-05","6.31036"
"684.50","6.52850E-05","6.18519"
"685.00","1.08297E-04","5.96538"
"685.50","6.91975E-05","6.15991"
"686.00","1.24271E-04","5.90563"
"686.50","1.30825E-04","5.88331"
"687.00","1.01151E-04","5.99503"
"687.50","8.46840E-05","6.07220"
"688.00","5.13715E-05","6.28928"
"688.50","7.66155E-05","6.11568"
"689.00","4.04874E-05","6.39268"
"689.50","6.51526E-05","6.18607"
"690.00","4.53639E-05","6.34329"
"690.50","3.85134E-05","6.41439"
"691.00","2.28631E-05","6.64086"
"691.50","9.48372E-08","9.02302"
"692.00","1.30054E-05","6.88588"
"692.50","-6.81697E-06","37.00000"
"693.00","2.57229E-05","6.58968"
"693.50","2.50638E-05","6.60095"
"694.00","1.72470E-05","6.76329"
"694.50","1.62334E-05","6.78959"
"695.00","7.26699E-06","7.13865"
"695.50","3.16225E-06","7.50000"
"696.00","1.61039E-05","6.79307"
"696.50","4.84942E-06","7.31431"
"697.00","1.40495E-05","6.85234"
"697.50","-1.01586E-07","37.00000"
"698.00","-6.90543E-06","37.00000"
"698.50","1.53979E-05","6.81254"
"699.00","-3.40514E-06","37.00000"
"699.50","2.54433E-05","6.59443"
"700.00","4.54009E-05","6.34294"
"700.50","3.07390E-05","6.51231"
"701.00","3.78067E-05","6.42243"
"701.50","1.99409E-05","6.70026"
"702.00","5.48520E-05","6.26081"
"702.50","2.34548E-05","6.62977"
"703.00","7.04890E-05","6.15188"
"703.50","3.02145E-05","6.51978"
"704.00","9.39327E-06","7.02718"
"704.50","-6.38326E-06","37.00000"
