subject,group,context,file,sig,pcl,BG,EX,blur,lpf,drift,actStart,actEnd,cm_px,stimX,stimY,angle,cv,apexAngle,notes
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,155,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,165,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,175,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,185,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,195,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,205,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,215,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,225,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,235,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,245,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,255,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,265,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,275,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,285,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,295,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,305,86.9531,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,315,67.8673,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,325,63.4688,,
